theta,I
0,0.24
4.92,0.41
9.84,0.58
14.77,0.83
19.69,1.08
24.61,1.41
29.53,1.77
34.45,2.14
39.38,2.52
44.3,2.93
49.22,3.31
54.14,3.72
59.06,4.04
63.98,4.3
68.91,4.51
73.83,4.6
78.75,4.75
83.67,4.76
88.59,4.64
93.52,4.39
98.44,4.08
103.36,3.82
108.28,3.46
113.2,3.05
118.12,2.65
123.05,2.18
127.97,1.83
132.89,1.46
137.81,1.09
142.73,0.78
147.66,0.56
152.58,0.37
157.5,0.23
162.42,0.17
167.34,0.13
172.27,0.17
177.19,0.24
182.11,0.36
