theta,I
0,0.57
4.92,0.52
9.84,0.4
14.77,0.29
19.69,0.21
24.61,0.17
29.53,0.14
34.45,0.14
39.38,0.18
44.3,0.22
49.22,0.32
54.14,0.45
59.06,0.6
63.98,0.75
68.91,0.93
73.83,1.12
78.75,1.35
83.67,1.55
88.59,1.74
93.52,1.9
98.44,2.06
103.36,2.2
108.28,2.31
113.2,2.44
118.12,2.42
123.05,2.41
127.97,2.35
132.89,2.28
137.81,2.17
142.73,2.05
147.66,1.87
152.58,1.69
157.5,1.54
162.42,1.33
167.34,1.16
172.27,0.94
177.19,0.8
182.11,0.63
