Theta,I
0,0.63
4.92,0.64
9.84,0.68
14.77,0.65
19.69,0.62
24.61,0.59
29.53,0.55
34.45,0.51
39.38,0.42
44.3,0.39
49.22,0.33
54.14,0.27
59.06,0.21
63.98,0.18
68.91,0.14
73.83,0.1
78.75,0.08
83.67,0.05
88.59,0.03
93.52,0.04
98.44,0.04
103.36,0.04
108.28,0.06
113.2,0.08
118.12,0.09
123.05,0.12
127.97,0.17
132.89,0.22
137.81,0.26
142.73,0.34
147.66,0.4
152.58,0.42
157.5,0.5
162.42,0.57
167.34,0.63
172.27,0.66
177.19,0.69
182.11,0.69
