Theta,I
0,4.44
4.92,4.65
9.84,4.56
14.77,4.41
19.69,4.2
24.61,3.97
29.53,3.69
34.45,3.39
39.38,3.06
44.3,2.71
49.22,2.37
54.14,2.04
59.06,1.74
63.98,1.48
68.91,1.26
73.83,1.1
78.75,0.99
83.67,0.92
88.59,0.91
93.52,0.96
98.44,1.06
103.36,1.24
108.28,1.46
113.2,1.74
118.12,2.01
123.05,2.31
127.97,2.58
132.89,2.82
137.81,2.92
142.73,3.39
147.66,3.57
152.58,3.8
157.5,3.99
162.42,4.14
167.34,4.26
172.27,4.38
177.19,4.52
182.11,4.59
