Theta,I
0,0
4.92,0.04
9.84,0.04
14.77,0.03
19.69,0.04
24.61,0.05
29.53,0.02
34.45,0.02
39.38,0.02
44.3,0.03
49.22,0.02
54.14,0.01
59.06,0.02
63.98,0.02
68.91,0.02
73.83,0.02
78.75,0.02
83.67,0.02
88.59,0.02
93.52,0.03
98.44,0.02
103.36,0.03
108.28,0.01
113.2,0.02
118.12,0.02
123.05,0.02
127.97,0.04
132.89,0.02
137.81,0.04
142.73,0.03
147.66,0.03
152.58,0.04
157.5,0.05
162.42,0.03
167.34,0.04
172.27,0.04
177.19,0.04
182.11,0.04
