Theta,I
0,0
4.92,0.04
9.84,0.04
14.77,0.03
19.69,0.04
24.61,0.04
29.53,0.02
34.45,0.03
39.38,0.02
44.3,0.03
49.22,0.01
54.14,0.02
59.06,0.03
63.98,0.03
68.91,0.02
73.83,0.03
78.75,0.01
83.67,0.03
88.59,0.01
93.52,0.02
98.44,0.02
103.36,0.02
108.28,0.01
113.2,0.02
118.12,0.03
123.05,0.02
127.97,0.03
132.89,0.02
137.81,0.03
142.73,0.03
147.66,0.03
152.58,0.04
157.5,0.04
162.42,0.04
167.34,0.03
172.27,0.05
177.19,0.05
182.11,0.04
