Theta,I
0,0.57
4.92,0.61
9.84,0.65
14.77,0.72
19.69,0.76
24.61,0.73
29.53,0.75
34.45,0.72
39.38,0.72
44.3,0.69
49.22,0.64
54.14,0.59
59.06,0.52
63.98,0.47
68.91,0.41
73.83,0.36
78.75,0.3
83.67,0.25
88.59,0.2
93.52,0.18
98.44,0.13
103.36,0.1
108.28,0.06
113.2,0.05
118.12,0.03
123.05,0.05
127.97,0.05
132.89,0.07
137.81,0.09
142.73,0.14
147.66,0.2
152.58,0.25
157.5,0.31
162.42,0.39
167.34,0.45
172.27,0.52
177.19,0.59
182.11,0.64
